"Date","Open","High","Low","Close"
"Dec 15, 2021","$21.96","$22.13","$21.43","$22.09"
"Dec 14, 2021","$22.34","$22.36","$21.70","$21.96"
"Dec 13, 2021","$22.20","$22.43","$22.15","$22.34"
"Dec 10, 2021","$21.97","$22.24","$21.83","$22.19"
"Dec 09, 2021","$22.43","$22.48","$21.87","$21.97"
"Dec 08, 2021","$22.50","$22.57","$22.32","$22.43"
"Dec 07, 2021","$22.40","$22.61","$22.24","$22.50"
"Dec 06, 2021","$22.60","$22.67","$22.14","$22.40"
"Dec 03, 2021","$22.40","$22.60","$22.04","$22.56"
"Dec 02, 2021","$22.34","$22.51","$22.23","$22.40"
"Dec 01, 2021","$22.84","$23.04","$22.19","$22.34"
"Nov 30, 2021","$22.92","$23.32","$22.70","$22.85"
"Nov 29, 2021","$23.18","$23.45","$22.76","$22.92"
"Nov 26, 2021","$23.61","$23.74","$22.93","$23.13"
"Nov 25, 2021","$23.56","$23.74","$23.53","$23.61"
